name,title,company,profile_url
Adam Goff,Vice President - Commercial Business,Box,https://www.stage2.capital/team/adam-goff
Aditya Denduluri,"Global Lead, Service Management Sales Strategy &amp; Performance",Atlassian,https://www.stage2.capital/team/aditya-denduluri
Adrian Rosenkranz,CRO,Webflow,https://www.stage2.capital/team/adrian-rosenkranz
Akia Obas,"Senior Director, Data, Insights, and GTM Business Systems",Netlify,https://www.stage2.capital/team/akia-obas
Alex Poulos,CEO,Userflow ; Beamer,https://www.stage2.capital/team/alex-poulos
Alex Sukennik,Chief Information Officer,Semrush Inc.,https://www.stage2.capital/team/alex-sukennik
Aleya Chattopadhyay,iCMO - Fractional Growth &amp; Marketing Leadership for B2B Tech,GROW Powered,https://www.stage2.capital/team/aleya-chattopadhyay
Alyson Baber,Founder,Alyson Baber Coaching,https://www.stage2.capital/team/alyson-baber
Amy Sezak,"Senior Vice President, Corporate Communications &amp; PR",Yelp,https://www.stage2.capital/team/amy-sezak
Amy Volas,Founder &amp; CEO,Avenue Talent Partners,https://www.stage2.capital/team/amy-volas
Andrew Fennessy,Enterprise Account Executive,Rubrik,https://www.stage2.capital/team/andrew-fennessy
Andy Carlon,Lead - Client Sales,Ramp,https://www.stage2.capital/team/andy-carlon
Anne Prins,"Vice President, Global Product Partnerships",Klaviyo,https://www.stage2.capital/team/anne-prins
Anthony Kolodynski,"Regional Vice President, EMEA",Weights &amp; Biases,https://www.stage2.capital/team/anthony-kolodynski
Ari Osur,CMO,SANS Institute,https://www.stage2.capital/team/ari-osur
Arjo van Reeven,Head of Solution Sales EMEA | Jira Align (Scaled Agile),Atlassian,https://www.stage2.capital/team/arjo-van-reeven
Ashok Rajan,CEO and Founder,Pristine Data AI,https://www.stage2.capital/team/ashok-rajan
Barrett King,Head of Alliances,Ramp,https://www.stage2.capital/team/barrett-king
Ben O'Rourke,CRO,Lytica,https://www.stage2.capital/team/ben-o'rourke
Benjamin Laibson,Co-Founder,Community of Smalls,https://www.stage2.capital/team/benjamin-laibson
Bhavin Rawal,Founder; Chief Product Officer,RCloud Labs ; CloudCall,https://www.stage2.capital/team/bhavin-rawal
Bill Bliss,Enterprise Account Executive,ThoughtSpot,https://www.stage2.capital/team/bill-bliss
Bill Hobbib,CMO,DemandScience,https://www.stage2.capital/team/bill-hobbib
Bob Lyle,CRO,Medcrypt,https://www.stage2.capital/team/bob-lyle
Boris Litvin,AWS Financial Services,AWS,https://www.stage2.capital/team/boris-litvin
Brandon Cohan,"Senior Vice President, Customer Success &amp; Operations",Edia,https://www.stage2.capital/team/brandon-cohan
Brenda Fridman,Director of Sales,Hubspot,https://www.stage2.capital/team/brenda-fridman
Brent Holloway,Founder,Mastiff Software <https://www.mastiffsoftware.com/>,https://www.stage2.capital/team/brent-holloway
Brett Chereskin,COO,dub,https://www.stage2.capital/team/brett-chereskin
Brett Zager,"Senior Director, GTM Strategy &amp; Competitive Intelligence",Anaplan,https://www.stage2.capital/team/brett-zager
Brian Goldstein,GM of Strategic AI and ISV GTM,Google,https://www.stage2.capital/team/brian-goldstein
Brian Levin,CRO,Reality Defender,https://www.stage2.capital/team/brian-levin
Bryan Mueller,Founder,Monarch,https://www.stage2.capital/team/bryan-mueller
Bryan Tucker,"Area Vice President, Mid-Market Sales",Gong,https://www.stage2.capital/team/bryan-tucker
Caryl Yuhas,Head of Field,Opal Security <https://opal.dev>,https://www.stage2.capital/team/caryl-yuhas
Casey Drummond,Principal Customer Success Manager,Forter,https://www.stage2.capital/team/casey-drummond
Chad Supers,"Director, Strategic Accounts",Palantir Technologies,https://www.stage2.capital/team/chad-supers
Charleen Kao,Founder &amp; CEO,The Join Agency,https://www.stage2.capital/team/charleen-kao
Charles Fiorino,"Principal Manager, Mid Market Sales",Hubspot,https://www.stage2.capital/team/charles-fiorino
Chris DeLisle,VP of Relationship Management,Drawbridge,https://www.stage2.capital/team/chris-delisle
Chris Millerick,"Global Vice President - WW Partner Sales, Alliances &amp; Hyperscalers",Infoblox,https://www.stage2.capital/team/chris-millerick
Chris Mills,Vice President Product Marketing / GTM,Wrike,https://www.stage2.capital/team/chris-mills
Chris O’Brien,Chief Commercial Officer,C.H. Robinson,https://www.stage2.capital/team/chris-o’brien
Chris Perez,Key Account Leader,Skydio,https://www.stage2.capital/team/chris-perez
Chris Wheeler,Senior Director of Global Sales Development,GitHub,https://www.stage2.capital/team/chris-wheeler
Christine Vinnicombe,"Director, Global Channel &amp; Alliances Operations",BlackLine,https://www.stage2.capital/team/christine-vinnicombe
Christopher Marentis,Founder,Surefire Local,https://www.stage2.capital/team/christopher-marentis
Cliff Unger,CRO,CCT <http://www.cct.io>,https://www.stage2.capital/team/cliff-unger
Cody Jones,Former Global Head of Partnerships &amp; Ecosystem,Zapier,https://www.stage2.capital/team/cody-jones
Colleen Pimentel,"Key Account Executive, Strategic AI and iSV, Go To Market (GTM) Advisor - Google Startups, Woman &amp; AI Founders",Google,https://www.stage2.capital/team/colleen-pimentel
Collin Smith,Vice President of Product; CEO &amp; Founder,Consensus; ReachSuite.io,https://www.stage2.capital/team/collin-smith
Corinne Bartow,"Vice President, Partnerships",Singletrack,https://www.stage2.capital/team/corinne-bartow
Costa Harbilas,CRO,Intapp,https://www.stage2.capital/team/costa-harbilas
Courtney Graham,Vice President of Sales,Databricks,https://www.stage2.capital/team/courtney-graham
Dan Kimball,CMO,Spectrum Equity,https://www.stage2.capital/team/dan-kimball
Danny Mason,Vice President of Sales,TestBox,https://www.stage2.capital/team/danny-mason
Danny Schonfeld,"Senior Vice President, Revenue Operations",Edmentum,https://www.stage2.capital/team/danny-schonfeld
Darren Mowry,"Vice President, Google Cloud Global Startups",Google Cloud,https://www.stage2.capital/team/darren-mowry
Dave Burns,CCO,IRIS Software Group,https://www.stage2.capital/team/dave-burns
David Austin,VP Marketing,Vaidio,https://www.stage2.capital/team/david-austin
David Barron,"Director, Product Strategy and GTM",HubSpot,https://www.stage2.capital/team/david-barron
David Noël,Regional Vice President MEA,Dynatrace,https://www.stage2.capital/team/david-noël
David Wodnicki,"MSFT Relationship Account Strategist- Financial Services, Key Accounts &amp; Revenue Transformation",LinkedIn,https://www.stage2.capital/team/david-wodnicki
Dennis Gushue,Senior Vice President of Sales,ThreeFlow,https://www.stage2.capital/team/dennis-gushue
Derek Jones,Vice President,Hospitable.com,https://www.stage2.capital/team/derek-jones
Derek Rast,AVP Sales - APAC,Fastly,https://www.stage2.capital/team/derek-rast
Devin Reed,"Director, Content &amp; Thought Leadership",Clari,https://www.stage2.capital/team/devin-reed
Dexter Bachelder,CEO,Propel People <https://www.propelpeopleco.com/>,https://www.stage2.capital/team/dexter-bachelder
Don Matejko,"GM, Americas Field Operations",UserTesting,https://www.stage2.capital/team/don-matejko
Doug Andrews,"Vice President, Global Sales Operations",BeyondTrust,https://www.stage2.capital/team/doug-andrews
Doug Grigg,"President, Go To Market",Showpad,https://www.stage2.capital/team/doug-grigg
Drew Ferrara,"Regional Director, Enterprise",MongoDB,https://www.stage2.capital/team/drew-ferrara
Drew Mavrikos,Head of Sales,Rally UXR,https://www.stage2.capital/team/drew-mavrikos
Drew Woodcock,"Director, Customer Growth Account Management, AMS",Tricentis,https://www.stage2.capital/team/drew-woodcock
Edward Unthank,Founder and CEO,Etumos,https://www.stage2.capital/team/edward-unthank
Elena Hutchison,Founder,Up/Right Analyst Relations,https://www.stage2.capital/team/elena-hutchison
Eric Din,"Senior Vice President, Global Alliances",Medallia,https://www.stage2.capital/team/eric-din
Eric Janssen,Faculty Member; Founder,Ivey Business School at Western University; The Founder Sales Print,https://www.stage2.capital/team/eric-janssen
Eric Peters,Group Product Manager,HubSpot,https://www.stage2.capital/team/eric-peters
Erik Raudsepp,"VP, Product Engagement",Pactum AI,https://www.stage2.capital/team/erik-raudsepp
Evan Davies,GTM Leader,Superhuman <https://sprh.mn/com>,https://www.stage2.capital/team/evan-davies
Eve Alexander,"Senior Vice President, Corporate &amp; Product Marketing",Seismic,https://www.stage2.capital/team/eve-alexander
Evelyn Swaim,"Vice President, Global Growth Marketing",Seismic,https://www.stage2.capital/team/evelyn-swaim
Frank Guarasci,Senior Account Executive,Orgvue,https://www.stage2.capital/team/frank-guarasci
Gary Lombardo,CMO,Alpenglow Marketing,https://www.stage2.capital/team/gary-lombardo
Genefa Murphy,Chief Marketing Officer,Udemy,https://www.stage2.capital/team/genefa-murphy
Geoff Nugent,"Regional Vice President, Financial Services",Salesforce,https://www.stage2.capital/team/geoff-nugent
Graham Collins,Head of Partnerships,QuotaPath,https://www.stage2.capital/team/graham-collins
Grant Ho,CMO,IRONSCALES,https://www.stage2.capital/team/grant-ho
Hass Johnson,"Regional Vice President, SouthWest, Strategic Enterprise",LogicMonitor,https://www.stage2.capital/team/hass-johnson
Heather Ryan,RDI Head of Global Product,WTW,https://www.stage2.capital/team/heather-ryan
Hillary Carpio,"Senior Director, Account Based Marketing",Snowflake,https://www.stage2.capital/team/hillary-carpio
Holly Tompkins,Regional Sales Executive,Atlassian,https://www.stage2.capital/team/holly-tompkins
Hong Choing,Limited Partner,Stage 2 Capital Catalyst,https://www.stage2.capital/team/hong-choing
